hgnc_symbol,gene_biotype,mean.CPM,min.CPM,max.CPM,express.in.libs
NYAP1,protein_coding,0.03652868643475187,0,0.35864010850828626,4
NYAP2,protein_coding,0.08851056670185842,0,0.5734505918030895,7
NYX,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OBP2A,protein_coding,0.0042746758306209595,0,0.08549351661241919,1
OBP2B,protein_coding,0,0,0,0
OC90,protein_coding,0.008526643438941684,0,0.17053286877883367,1
OCA2,protein_coding,0.008526643438941684,0,0.17053286877883367,1
OCM,protein_coding,0.10426259040914473,0,0.5379601627624294,6
OCM2,protein_coding,0,0,0,0
ODAM,protein_coding,0.006261535054666138,0,0.12523070109332277,1
ODF1,protein_coding,0,0,0,0
ODF3L1,protein_coding,0.008526643438941684,0,0.17053286877883367,1
ODF3L2,protein_coding,0,0,0,0
ODF4,protein_coding,0,0,0,0
OGDHL,protein_coding,0,0,0,0
OIP5,protein_coding,0.16257256295859498,0,0.668488551247086,11
OIT3,protein_coding,0.007531024703935988,0,0.15062049407871977,1
OLAH,protein_coding,0.014378126647202467,0,0.18439492079986453,2
OLFM3,protein_coding,0.05365400422201503,0,0.5009228043732911,5
OLFM4,protein_coding,0.026399903224566645,0,0.25648054983725754,3
OLFML2A,protein_coding,0.1702659805479738,0,0.9037229644723186,11
OLIG3,protein_coding,0,0,0,0
OMP,protein_coding,0.024826115860654765,0,0.19811476250508456,3
ONECUT1,protein_coding,0.027584727242416406,0,0.25986580394753933,3
ONECUT2,protein_coding,0.10179804390609672,0,0.4609873019996613,9
ONECUT3,protein_coding,0.08756775007193031,0,0.6261535054666139,7
OOEP,protein_coding,0.040858042088885355,0,0.3670083787539773,4
OOSP2,protein_coding,0,0,0,0
OPALIN,protein_coding,0.03125732644924529,0,0.25046140218664553,4
OPCML,protein_coding,0.0226771086092197,0,0.15062049407871977,4
OPN1LW,protein_coding,0,0,0,0
OPN1MW,protein_coding,0,0,0,0
OPN1MW2,protein_coding,0,0,0,0
OPN1MW3,protein_coding,0.009905738125254228,0,0.19811476250508456,1
OPN4,protein_coding,0.018439492079986453,0,0.36878984159972905,1
OPN5,protein_coding,0.030922129259869632,0,0.25046140218664553,4
OPRD1,protein_coding,0.28203047176058266,0,1.8276313553430847,14
OPRK1,protein_coding,0.14673987335652436,0,2.2127390495983743,5
OPRM1,protein_coding,0.0675028154590836,0,0.37569210327996827,6
OPTC,protein_coding,0,0,0,0
OR10A2,protein_coding,0.03192335107716903,0,0.35864010850828626,4
OR10A3,protein_coding,0.01087140807466275,0,0.12523070109332277,2
OR10A4,protein_coding,0.005068428210650032,0,0.10136856421300064,1
OR10A5,protein_coding,0.013225181193661312,0,0.2634719477517844,2
OR10A6,protein_coding,0,0,0,0
OR10A7,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR10AG1,protein_coding,0,0,0,0
OR10C1,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR10D3,protein_coding,0.05186492348109753,0,0.5943442875152537,4
OR10G2,protein_coding,0.0288546091664741,0,0.4518614822361593,2
OR10G3,protein_coding,0,0,0,0
OR10G4,protein_coding,0.0032483225493442416,0,0.06496645098688483,1
OR10G6,protein_coding,0.006496645098688483,0,0.12993290197376967,1
OR10G7,protein_coding,0,0,0,0
OR10G8,protein_coding,0,0,0,0
OR10G9,protein_coding,0.01315406067459847,0,0.19811476250508456,2
OR10H1,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR10H2,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR10H3,protein_coding,0,0,0,0
OR10H4,protein_coding,0.014810886715908057,0,0.17098703322483838,2
OR10H5,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR10J1,protein_coding,0,0,0,0
OR10J5,protein_coding,0,0,0,0
OR10K1,protein_coding,0.013829619059989839,0,0.2765923811997968,1
OR10K2,protein_coding,0.023059280994619374,0,0.37569210327996827,2
OR10P1,protein_coding,0.06482122264914046,0,0.36878984159972905,5
